name,"Number of Reviews, Minimum Nights Correl",minNights,Total Reviews
320 Charming Private RM in a Happy Home w/ Laundry,1.0,32,39
2BR Lakeview Condo with Deck on a Quiet Street,1.0,180,187
Cozy Garden Apartment in lovely Old Irving Park,1.0,32,63
Private bedroom (Q) in Spacious Modern Condo,1.0,32,44
"Boulevard Place @ the ""606""",1.0,32,48
🍀420fr. 🧿Blue Sky Apartment FREEParking,1.0,32,42
Wrigley Field 5 min walk | Designer | Loft,1.0,32,60
"Cozy, 2 Bdrm Wicker Park Apt",1.0,3,3
The Compound a hidden oasis in Logan Square,1.0,32,58
Bright and spacious guest bedroom by the lake,1.0,32,36
Top Floor of Historic Coachhouse,1.0,32,40
lux furnished condo with A+++ view in River North,1.0,32,34
"Large Bedroom, Private Bath, Near Stores & Bus [M3",1.0,14,25
Siddharth Arya,1.0,32,46
"Modern, Super-CLEAN, Garden Level Bedroom 1",1.0,20,24
Private Room in Cozy Townhouse (Barack Obama),1.0,32,37
Private Room in Cozy Townhouse (J B P DuSable),1.0,32,47
Private Room in Cozy Townhouse (Ida B. Wells),1.0,32,47
Budlong Woods 1bd 1bath,1.0,1,1
1BR in the heart of Portgage Park,1.0,32,32
"Nice private room near bus, stores and arena [F2",1.0,32,40
《6》离展览中心和中国城很近。有红绿线地铁。8和35公交车。3个卧室,1.0,1,1
A Tri-level Rowhouse@U. Chicago,1.0,14,24
2Bed 2Bath Hyde Park Condo,1.0,28,43
"Master Bedroom, Private Bath near Stores & Bus [M2",1.0,32,32
"Gather, relax, enjoy— in chic contemporary home",1.0,32,38
3BR/1.5BA Between Downtown and U. of Chicago,1.0,30,35
Vintage Studio Efficiency,1.0,32,51
"Private, family friendly, bilingual",1.0,5,8
Stunning Chicago Greystone,1.0,32,54
Convenient Bright Private Room nr Bus & Stores [B3,1.0,32,35
"Superb Private Rm, close to bus, stores & food [F3",1.0,32,37
The Cunningham,1.0,32,55
Vibrant West Town on Grand Avenue,1.0,32,33
Sojourn on Southport @Wrigley - 3 Bedroom,1.0,32,43
Palmer Oasis,1.0,32,55
2BD/2BA Luxury Apartment - Roof Deck Access,1.0,32,33
Welcoming All: Tudor Home Warm Community 1W,1.0,3,4
Bright 1bd in Ukrainian / Humboldt,1.0,32,61
Cool loft in Fulton Market District / West Loop,1.0,32,46
Sidh  Arya,1.0,32,55
Yellow room+ for 1-4 guests @ South Shore bungalow,1.0,32,35
Orange Room at South Shore Bungalow,1.0,32,59
Inspiring Studio in Art Gallery,1.0,32,52
Art Deco Loft- Refugees Welcome,1.0,160,210
Private Space in Center of Boystown,1.0,32,32
Chic and modern - Best location in Chicago,1.0,32,37
Chicago Suite 1BR/1BA (3709-G2),1.0,32,46
"Beautiful, large, light-filled 1Bd",1.0,32,45
Musician's Quarters,1.0,32,57
Wrigley Hostel - Queen Bed Room,1.0,32,42
Beautiful Condo in Chicago,1.0,32,36
"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",1.0,32,41
"Spacious Bedroom, steps to El train",1.0,32,55
Luxury Space - Come & Relax,1.0,32,38
Winter Specials. You'll love this apartment.,1.0,32,39
15 Minutes to Everything.  Skyline View. Quiet.,1.0,32,50
Pullman Art Studio - One Person - Monthly Rental,1.0,32,44
2/1 One  Block to Fullerton L Red Line Deck & Yard,1.0,32,50
Prime LincolnPark 1 Block Fullerton Express L Deck,1.0,32,41
McCormick Place Spacious 3b/2b,0.0,2,1
The Elston Casita,0.0,2,1
House in Portage Park,0.0,2,1
Great Location / Private Room in Lakeview,0.0,2,1
Charming retreat w/ firepit,0.0,2,1
Stunning & Spacious 7BD Home with garage!,0.0,3,1
Cityscape Condo w/ Bowling Alley,0.0,2,1
Fun & Private Chicago Speakeasy!,0.0,2,1
Fast WiFi/Room with TV/Free Pkng/94 Walk Score/1F*,0.0,2,1
Rockwell by the River,0.0,2,1
Hyde Park Spacious Gem,0.0,3,1
McCormick Pl city view 2br/2ba w Opt Parking/Gym,0.0,2,1
Luxe 4BR Chicago Home W/ Gym,0.0,2,1
Classic Hp 1 Br with Fast Transit to UChicago Dt,0.0,2,1
5 min to Chinatown & Downtown,0.0,2,1
Modern 2-BR Garden Unit Near UChicago and Beach,0.0,2,1
Extravagant 3 Bdr Skyline Penthouse by Cloud9,0.0,2,1
New Construction 3 Bed Condo W/Parking & Laundry,0.0,7,1
Homey Chinatown Condo by McCormick&Downtown,0.0,28,2
Charming cozy room with style perfect location,0.0,7,1
Modern and spacious  1bedroom apt for 2-3 guests,0.0,32,1
Prince’s Quarters: Chicago home for bedroom price.,0.0,5,1
Queen’s Quarters: Chicago home for bedroom price!,0.0,5,1
Great Location! Cozy 3BR Garden Unit in Hyde Park,0.0,2,1
Spacious 3 Bedroom Home in Chicago Rogers Park,0.0,4,2
Modern Izakaya Studio in Wicker Park,0.0,3,1
Urban Fab,0.0,3,1
Lovely Apartment on Quaint Block in Andersonville,0.0,2,1
Home away from home,0.0,2,1
McCormick Pl city view 2br/2ba/parking/sleeps 6,0.0,2,1
McCormick Place 3BR/2BA/Optional Parking/sleeps 8,0.0,2,1
Fast Wifi/2min to train/Comfy bed/92 Walk Score/E*,0.0,3,1
Dazzling West Loop w/ City View | The Nico by C9,0.0,2,1
Spacious Brand New W Loop for 4 | The Cori by C9,0.0,2,1
Pumpkin Spice! Designer Flat in Perfect Location,0.0,3,1
Fast WiFi/2min to train/Free pkg/92 Walk Score/1H*,0.0,3,2
Fast WiFi/Room with TV/Free Pkng/93 Walk Score/2F*,0.0,3,2
Fast WiFi/Free Parking/93 Walk Score/1B*,0.0,3,1
Luxury Gold Coast Condo,0.0,2,1
NEW! Old Town Chicago Duplex < 4 Mi to Downtown!,0.0,3,1
Private Brand New Remodeled Basement Floor,0.0,2,1
3.Private Room,0.0,5,1
2. Private Room,0.0,3,1
Chicago Rental - Cornell Ave,0.0,2,1
Chicago Rental - Lake Park,0.0,2,1
Romantic 1 bedroom with Floor to Ceiling views!,0.0,3,1
McCormick Downtown #23 | 2bd/2ba (+Gym&Rooftop),0.0,2,1
Lovely 2 Bedroom condo with indoor fireplace!,0.0,2,1
3BR Elegant Glass Penthouse Pool With Deck & Gym,0.0,3,1
"Luxury Fulton Market Penthouse, Sleeps 32 w/ ease",0.0,2,1
Pilsen Outlook Loft,0.0,3,1
Fast WiFi/Room with TV/Free Pkng/93 Walk Score/2E,0.0,3,2
Fast WiFi/Private ENTR/Room w/TV/ 93 Walk Score/1D,0.0,3,2
Spacious two bedroom condo with a cozy feel!,0.0,3,1
1. Large private room.,0.0,5,3
"#1990, Your artistically designed home awaits you!",0.0,3,1
31st Bridgeport 3R 2bed/1bath + Free Laundry,0.0,32,2
31st Bridgeport 3F 2bed/1bath + Free Laundry,0.0,32,1
Chic|Comfy|Renovated1Bd1Ba Perfect for Couples,0.0,2,1
Chic|Comfy|Stylish| 2BD 2BA - Little India,0.0,2,1
VintageLoversEscape|Homey|Stylish1BR|CloseToBeach,0.0,2,1
31st Bridgeport 2R 2bed/1bath + Free Laundry,0.0,32,1
31st Bridgeport 1R 2bed/1bath + Free Laundry,0.0,32,2
Cozy 1-bedroom garden unit. with free parking,0.0,2,1
Cozy quite studio with private kitchen and bath,0.0,3,2
31st Bridgeport 1F 2bed/1bath + Free Laundry,0.0,32,1
Lovely studio unit with private kitchen and bath,0.0,32,2
Lovely two bedroom condo in the hip Bucktown Area,0.0,2,1
"Pilsen 1 bedroom Spacious apartment, in a fun area",0.0,32,1
31rge Cozy 3BR near UChicago Medical Midway Museum,0.0,3,1
Spacious Shared Room Near BP Whiting,0.0,5,1
Cozy private room 10 mins from downtown Chicago,0.0,30,1
24-20% OFF Hyde Park 2BR UChicago Medical Museums,0.0,3,1
Lovely 3 bedroom unit with very high ceilings.,0.0,2,1
The Perfect Chicago Artist Apartment!,0.0,2,1
"Old-World, Classic Unit Downtown - Sleeps 9!",0.0,3,2
Lovely 2-bedroom rental unit with parking,0.0,3,1
23rd Pl Rm 3U,0.0,32,1
23rd Pl Rm 2U,0.0,5,1
Adorable 1-bedroom in Chicago’s Gold Coast,0.0,32,1
Cozy Chicago Abode in the heart of all the fun.,0.0,20,5
Stunning Suite 3 (2bd) downtown @Fulton House,0.0,32,1
"Spacious, Clean and Steps from Wrigley Field!",0.0,2,1
Chic vintage-meets-modern duplex in fab location,0.0,2,1
McCormick Place 2br w balcony/Gym/Parking/sleeps 6,0.0,2,1
31st Bridgeport 2F 2bed/1bath + Free Laundry,0.0,32,1
The McGee's In Bucktown,0.0,32,3
Cute studio centrally located-M,0.0,32,7
Spacious Shared Room near Jackson Park Hospital,0.0,3,1
Magical Elf Apartment,0.0,32,1
Entire Apartment Unit in Roseland Neighborhood,0.0,28,2
The Master Bedroom in Bridgeport Chicago,0.0,2,1
The Master Bedroom in Bridgeport Chicago,0.0,2,1
The Master Bedroom in Bridgeport Chicago,0.0,2,1
Old Town Chicago Artist Retreat,0.0,3,1
Relaxing Private Room A in Roseland Neighborhood,0.0,28,1
Relaxing Private Room C in Roseland Neighborhood,0.0,28,1
NEW! Urban Chicago Escape ~ 1 Mi to Local Beaches!,0.0,2,1
Romantic 3 Bed Home In the Heart of the Park,0.0,2,1
Lovely 1 Bedroom Furnished Apartment on the Park,0.0,32,1
NEW! Sleek Chicago Apt: Walk to Dining + Nightlife,0.0,2,1
Office/Fast Wi-fi/Free Pkng/Patio & 94 Walk Score,0.0,32,1
Adorable Studio w/ amazing tub in Humboldt Park!,0.0,32,1
"Cozy 2-bedroom, 1.5 bath for 6, no cleaning fees.",0.0,3,1
Lovely 2 Bed near McCormick area and south loop,0.0,3,1
"Loop 1BR w/ gym, roof & lounge, same block as L",0.0,32,1
"Luxe Gold Coast!|City Views, Fast Wi-Fi, Pool, Gym",0.0,32,1
Office/Fast Wi-fi/Free Pkng/Patio & 94 Walk Score,0.0,32,1
"New! Elegant Apt for 4 w/ Sundeck, BBQ grill by C9",0.0,2,1
"NEW! Renovated Condo w/ Game Room, Steps to Subway",0.0,2,1
NEW! Stylish Chicago Duplex Close to Parks & Dtwn,0.0,2,1
Lovely 3 bedroom full of amenities,0.0,2,1
GROUP LUX in Old Town/Gold Coast (+private roof),0.0,2,1
Comfortable Rental on - Cornell Ave,0.0,2,1
"Lincoln Park 3BR, nr L & Lincoln Park",0.0,32,1
"Modern Lux Apt | Fast Wi-Fi, Pool, Gym, Projector!",0.0,32,1
DePaul Dormroom Housing,0.0,32,1
"Great Chicago getaway, 2 bedrooms. Sleeps 4 to 6",0.0,2,1
Fully furnished studio for long stays,0.0,32,3
Great super studio to WF-Lake-Boystown-M,0.0,32,7
F. Mansion Shared Coed Room top bunk,0.0,3,2
Lovely 2 bedroom home in Chicago - West Bucktown,0.0,2,1
Convenient apartment in Lakeview -M,0.0,32,2
"Centrally located, spacious for long stays",0.0,32,3
"All new 2BR in Pilsen, laundry incl",0.0,32,2
LUX LIFE panoramic views of the Gold Coast!,0.0,2,1
Fully furnished studio for long stays,0.0,32,4
"Luxury Condo in Gold Coast w/ Fast Wifi, Pool, Gym",0.0,32,1
Bright Junior 1 Bed in the heart of River North,0.0,32,1
Luxury 1-bedroom Downtown Apartment,0.0,32,1
Fast WiFi/Room with TV/Free Pkng/94 Walk Score/1G,0.0,32,2
Fast WiFi/Room with TV/Free Pkng/94 Walk Score/1F,0.0,32,1
Fast WiFi/Room with TV/Free Pkng/94 Walk Score/1D,0.0,32,2
River North High Rise w/Amazing Views and Parking,0.0,31,1
Charming Private Room #2 in Chrysler Chicago,0.0,32,5
Sonder The Opal | Lofted Two-Bedroom Apartment w/ Rooftop,0.0,2,1
New Sunny & Cozy Top Floor 2bd - Laundry & Yard,0.0,32,2
Large 3 bedroom close to public transportation,0.0,3,2
The Suite Spot in Bridgeport,0.0,2,1
Fast WiFi/Room with TV/Free Pkng/94 Walk Score/2J,0.0,32,1
Fast WiFi/Room with TV/Free Pkng/94 Walk Score/2I,0.0,32,1
Beautiful 3bd apt. Hidden gem! Location!,0.0,33,1
Cozy 3 bedroom home near downtown,0.0,32,1
Wicker Park 1 bedroom Walk to Everything!,0.0,32,2
Logandale Home Away from Home Attic!,0.0,32,1
Private Bedroom in Chicago,0.0,32,1
Private Bedroom In Chicago,0.0,32,1
Fast WiFi/Close 2 train/Comfy bed/92 Walk Score/1F,0.0,32,1
Fast WiFi/2min to train/Free pkng/92 Walk Score/1H,0.0,32,1
Logandale Home Away from Home,0.0,4,2
Lovely Two bedroom apartment +free street parking,0.0,2,1
2-Bedroom townhouse w/ basement 10 mins to Chicago,0.0,3,2
Private|Comfortable|Spacious|1bedroom,0.0,2,1
Bright and gorgeous 1 room with a massage chair,0.0,3,1
Two Bedroom Retreat,0.0,32,1
"Hilarity Manor-Roomy home,arty vibes near Avondale",0.0,32,1
Shared House Portage Park room middle bedroom only,0.0,32,1
"Loop 1BR w/ Lounge, Gym & Roof, nr L",0.0,32,1
Lovely 3 bedroom apartment safe and clean,0.0,32,1
New Construction 3BR Retreat W/Parking & Backyard,0.0,14,3
Full one bedroom apartment in Chicago,0.0,32,1
"Lovely 3 Bedroom 
2 Full bathrooms 
Washer/Dryer",0.0,32,1
Lovely 1-bedroom condo with in-unit washer dryer,0.0,32,1
The Safe House,0.0,32,2
Your Ideal Long Term-In the Heart of Lincoln Park!,0.0,32,1
"3B/3BA Luxury Sky Loft | Panoramic Views, Indoor P",0.0,3,2
NEW Spacious 1br/conv next to the park and lake!,0.0,33,2
Great Live/Work Space Close to Downtown,0.0,32,1
"Light filled, 2-bedroom, historic, remodeled",0.0,32,3
"River W. Studio w/ Gym & BBQ, nr Blue Line",0.0,32,1
Full furnished 1B apt great for long stays,0.0,32,5
32+Day Studio Apt in lovely Uptown neighborhood,0.0,32,1
Race Entire Unit U,0.0,5,3
VIP Studio 1,0.0,32,1
TRENDY LOFT- WALK TO WINTRUST W/ PARKING INCLUDED!,0.0,2,1
"Minutes to lake, beach, redline, live theater",0.0,28,2
Hyde Park One Bedroom with private bathroom,0.0,300,1
Unit 1. Remodeled 2 bed 1 bath house on 3 lots!,0.0,33,1
New modern remodel! 2 bedroom 1 bath on 3 lots,0.0,33,2
Morgan Hut!! Cozy and Warm!!,0.0,32,7
Modern 2 Bed/1 Bath Condo. Great Location and View,0.0,32,1
Full furnished 1B apt great for long stays,0.0,32,11
Amazing!  Stay close to Downtown - FREE Parking,0.0,28,1
Great Room in my home - near downtown R1F,0.0,28,1
Entire Solid 2 Bedroom - Townhouse w/  Backyard,0.0,32,7
Newly renovated 4-bedroom unit with free parking,0.0,32,1
"Old-World, CLASSIC 2 units Downtown - Sleeps 12!",0.0,2,1
Local Artist’s Quiet One Bedroom - Bowmanville,0.0,32,1
Cheerful 4-bedroom home in Bucktown,0.0,3,2
Amazing Room Near Downtown Chicago - Free Parking,0.0,32,2
Lovely Studio in Pilsen,0.0,2,1
A la maison - 2BD unit 10 min away from downtown,0.0,32,3
University Of Chicago/Woodlawn Spacious 3BR 1.5B!,0.0,32,1
"Luxe- LONG STAY,4BED,UC 3MI,FREE PRKG,DWTN 15MIN",0.0,2,1
Private and centrally located 3 bedroom,0.0,32,1
Luxurious 4 bdrm Home with Private Roof Deck,0.0,7,1
Old Town 1 BR / 1 BA,0.0,32,1
Comfy Apartment between Bucktown & Logan Square,0.0,32,2
3 Story Luxury Condo with Massive Roof-top Deck,0.0,32,6
Private Room in Heart of Chinatown/McCormick Rm203,0.0,32,1
Lincoln Square Newly Remolded Unit w/ Central HVAC,0.0,32,1
"Lovely 4 Bedroom
With courtyard bedroom Southport",0.0,32,1
Lovely 3-Bedroom unit w/free parking close to City,0.0,4,3
Charming 1BDR in top location!,0.0,32,1
Entire 3 Full Bedroom Townhome in Lincoln Park,0.0,6,2
"Loop 2BR w/ Gym & Doorman, same block as L",0.0,32,1
Lovely Private Bedroom with Free Street Parking,0.0,28,1
"Bridgeport Apt w/laundry & parking.
Great location",0.0,32,1
Spectacular view 3BD unit luxury living Chicago C9,0.0,32,11
"Stylish, Spacious 2-bedroom Flat -Mins to Downtown",0.0,32,1
Lincoln Square Newly Remolded Unit w/Central HVAC,0.0,32,1
Sophisticated King Bedroom,0.0,32,13
"Luxury 1-bedroom, West Loop, Amazing Amenities",0.0,32,1
Cozy 3 Bdrm Condo w/ Jacuzzi Bath & Free Parking,0.0,3,2
Bucktown- Incredible Northside Neighborhood 1,0.0,32,1
Medical District Gem II,0.0,32,2
3 Flat Building Downtown - With PRIVATE Patios,0.0,2,1
Top Floor Luxury Near Lake/Wrigley,0.0,28,1
1 Bedroom Apartment in Downtown & Near Navy Pier!,0.0,32,1
"Lovely Large 3 Bedroom, w private work space.",0.0,32,1
Bucktown- Phenomenal Northside Neighborhood 2,0.0,32,2
"Minutes to lakefront, beach, train, live theater",0.0,15,2
19-20% OFF Vintage Hyde Park 2BR UChicago Med Cozy,0.0,3,1
Stunning Suite 1 @ Hotel Nemo Downtown,0.0,32,1
"Loop 1BR w/ Gym, Roof & Lounge, same block as L",0.0,32,1
Private Room 5 min to the City,0.0,32,1
Private 1 Bedroom in Logan Square Coach House,0.0,32,7
Fully furnished studio for long stays,0.0,32,12
Full furnished 1B apt great for long stays,0.0,32,12
Gorgeous studio in the heart of River North,0.0,32,2
2BR on great block in Pilsen,0.0,32,2
Modern Studio with Floor-to-Ceiling Windows,0.0,32,3
Gorgeous 1 Bed in Downtown Chicago,0.0,32,1
Private room. Two twin XL mattresses,0.0,31,3
Private room. Queen mattress,0.0,31,1
Sunny and spacious 2 bedroom near Horner Park,0.0,5,2
Contemporary Luxe Studio with Free Parking,0.0,32,3
New Lux Sky Home near Navy Pier & Mag Mile 2BR 2BA,0.0,32,2
The Ivy/ 1 min walk to Wrigley/Tix Available,0.0,32,9
Corner 1 Bed with Skyline Views near everything!,0.0,32,1
Professionally Managed 1 Bedroom by Fulton Market,0.0,32,1
Suite Home Studio in heart of West Loop,0.0,32,1
VIP Studio-2,0.0,32,2
CLASSIC 3Rd FLOOR BRONZEVILLE SPACE,0.0,32,1
Edgewater Arts & Crafts Retreat 2,0.0,32,17
Cozy Contemporary One-Bedroom Apartment,0.0,32,3
"Edgewater 2BR w/ Gym, Deck & Lounge, 5 blocks to L",0.0,32,1
Sunny Logan Square Apartment in Prime Location,0.0,32,1
Tri-Taylor 2 bedroom home,0.0,32,1
Jumbo 1 bedroom condo with free parking and more!,0.0,3,2
Pilsen 2F *In-Unit Laundry* 2bed/1bath !Location!,0.0,32,4
Pilsen 3R 1bed/1bath + Free Laundry +GreatLocation,0.0,32,3
Pilsen 1R 1bed/1bath + Free Laundry +GreatLocation,0.0,32,2
Junction Grove Inn -Spacious Boutique Two Bedroom,0.0,32,2
"Long Term for up to 8, spacious & cozy 3-BDR condo",0.0,32,2
Lovely 1 bedroom with indoor fireplace,0.0,32,2
SPACIOUS & MODERN 3 BR HOME | WI-Fi | FREE PARKING,0.0,32,10
Corner 2 Bed in the West Loop with Skyline Views,0.0,32,1
Modern 1 Bedroom with city views in West Loop,0.0,32,1
Corner 2 Bed with Balcony in heart of River North,0.0,32,2
Gorgeous 1 bedroom in the best West Loop location,0.0,32,2
Corner 2 bedroom with lake & skyline views,0.0,32,1
Amazing 1 bedroom with balcony and lake views,0.0,32,1
Bridgeport Estate - 4BR - Free Parking - BBQ grill,0.0,3,1
Sunny Studio with Balcony near Lake Michigan,0.0,32,1
Lovely 1-bedroom with great amenities,0.0,33,1
Sunny Jr 1 Bed with Floor-to-Ceiling Windows,0.0,32,1
Modern River North studio with rooftop pool,0.0,32,2
Large Studio with Walk-In Closet in West Loop,0.0,32,1
Stylish Suite Home Junior 1 Bedroom in the Loop,0.0,32,1
"Large 3 Bed, 3 Bath with Skyline Views in Chicago",0.0,32,1
Gorgeous Corner 2 Bedroom in the Heart of Downtown,0.0,32,1
"Streeterville 1BR w/ Gym & Dog Run, nr Beach",0.0,32,1
True to chicago,0.0,32,1
True chicago,0.0,32,2
The Modern Wing: King Bed in Quiet and Safe Condo,0.0,30,1
LUX 1BR/convertible with balcony and views!,0.0,32,2
"Two BR, 3 mi from downtown, 4 blocks from train",0.0,32,2
"Gold Coast Studio w/ Gym & Roof, nr Mag Mile",0.0,32,1
Lovely Vintage  2 bedroom & 1 bathroom apartment.,0.0,32,2
Vintage Hyde Park Home,0.0,32,3
"W. Loop Studio w/ Gym, W/D & Pool, 3 blocks to L",0.0,32,1
Gorgeous 1-Bedroom apartment with skyline views,0.0,32,2
Suite Home Studio in the heart of the Chicago Loop,0.0,32,2
The Roscoe Village Guest Suite 2,0.0,32,3
"Perfect Getaway! Near Navy Pier, SkyDeck Chicago",0.0,2,1
"Rare Find! 2 Beautiful Units, Pets Are Welcome",0.0,2,1
"2BR w/office, laundry, garage parking, 3 mi downtn",0.0,32,3
🏙HEART OF CHICAGO 1 Bedroom CONDO FREE PARKING,0.0,32,1
"Lincoln Park Studio w/ W/D & Lounge, nr L",0.0,32,1
Lovely Private Room in my Home R5G,0.0,32,1
Brand new 1-bedroom apartment,0.0,32,1
Medical Campus,0.0,5,3
"Fam friendly, wash & dryer, office nook & parking!",0.0,32,10
NEW! Corner LUX 1BR in downtown Chicago + Terrace!,0.0,32,1
NEW! Perfect location: JR 1br in downtown Chicago!,0.0,32,1
Make yourself at home.,0.0,33,3
"Rest in the Quartz Apartment,  is our super power.",0.0,32,2
Top Floor Med-District 2Bd/2Ba-Brilliant,0.0,32,4
Pilsen 3M 1bed/1bath + Free Laundry +GreatLocation,0.0,32,3
"You Found It! 2 Comfortable Units, Pet-friendly",0.0,2,1
"Relax and Unwind! 3 Great Units, Pets Allowed",0.0,2,1
Cutest Garden Apartment in Wicker Park,0.0,7,6
Lovely Corner 1-bedroom with Breathtaking Views,0.0,32,2
"Near North 1BR w/ Roof & Gym, nr shopping",0.0,32,1
Frontdesk | Bright 1 BR in Palmer Square,0.0,32,3
Frontdesk | Modern + Bright 1 BR,0.0,32,1
Frontdesk | 1 BR in Palmer Square,0.0,32,3
Beverly House,0.0,2,1
Sonder The Plymouth | One-Bedroom Apartment,0.0,3,1
Frontdesk | Downtown 1 BR off the Dan Ryan,0.0,32,1
Hidden Treasure,0.0,32,1
Frontdesk | Modern 1 BR with Views,0.0,32,2
Frontdesk | 1 BR Downtown with Views,0.0,32,1
Frontdesk | Modern  1 BR Downtown,0.0,32,2
Cozy and convenient Chicago,0.0,32,1
"53 Floor MagMile Penthouse Views, Balcony, Pool",0.0,4,2
The Wicker Loft,0.0,14,2
"Uptown 1BR w/ Roof & W/D, nr Red Line",0.0,32,1
"Uptown 1BR w/ W/D & Roof, nr Aragon Ballroom",0.0,32,2
Quiet & Cozy Apt in Logan Square!,0.0,6,2
Fort Washington Celadon Room 1 Block from CTA,0.0,32,13
"3 Bedroom Logan Square, laundry, yard 🌸💗",0.0,50,1
Beautiful one bedroom in the heart of river north.,0.0,32,1
Stunning Suite 4 @ Hotel Nemo Downtown,0.0,32,2
Visit Pilsen from the Sweetest Garden Unit in Town,0.0,30,1
River North Studio Great Views & Tons of Amenities,0.0,32,2
"Long Term for up to 8, 3-BDR condo,spacious & cozy",0.0,32,4
Spacious Upper-Level Apartment in Irving Park,0.0,32,1
Great 2 bed & 1 bath rental. (Pet friendly),0.0,2,1
South Loop apartment in the heart of the city,0.0,32,2
Medical District Gem III. Bright and comfortable.,0.0,32,3
Tri-Taylor Upsale  Condo,0.0,32,1
Landmark Location LakeShore East 2 Bed 2 Bath,0.0,32,1
W/Breakfast! By Metra & Jackson Park Hospital,0.0,11,8
Cozy 1 bedroom Condo in wonderful neighborhood.,0.0,30,9
"Large Art Deco Southside Townhouse, Free Parking",0.0,32,6
1 Private bedroom for rent in my house R1G,0.0,32,1
Lovely Spacious One Bedroom Condo w/Private Patio,0.0,32,1
Luxury Amenities & Centrally Located,0.0,6,3
"Gold Coast 1BR w/ Doorman & Gym, 2 blocks to L",0.0,32,1
Bright and Airy Attic 1BDR+DayBed! Next to Train!,0.0,32,3
Luxurious Apartment Downtown/River North Chicago,0.0,32,1
Chic Medical district 2Bd/2Ba home,0.0,32,4
Lovely One Bedroom Condo in Lincoln Park LONG TERM,0.0,32,3
"Beautiful, furnished 3 bedroom with Peloton!",0.0,33,1
Easy city living 2 bed 2 bath with private patio,0.0,60,1
Comfort in the Windy City,0.0,32,3
Swanky West Loop One Bed w/ Balcony,0.0,32,4
"WELCOME TO A BEAUTIFUL, SPACIOUS 1 BEDROOM",0.0,32,1
W. Loop 1BR w/ Gym & Pool in heart of Greektown,0.0,32,1
Great 1 bedroom with lovely view,0.0,32,3
"W. Loop 1BR w/ Pool, Coworking & Gym, 1 block to L",0.0,32,1
Cozy Vintage Stay,0.0,2,1
Lovely one bedroom,0.0,32,1
"Lakeview 2BR w/ Courtyard & W/D, 2 blocks to L",0.0,32,1
Avondale BR with desk next to transportation,0.0,70,2
"Lakeview 2BR w/ Courtyard & W/D, 2 blocks to L",0.0,32,2
Spacious 2bd 2bth Condo with Skyline views!,0.0,32,3
Cozy and comfy 3BR in Avondale - free st parking,0.0,32,4
Long term/private/renovated   Wicker Park hideaway,0.0,32,4
3BR/2.1BA TOWNHOUSE IN THE HEART OF WEST LOOP,0.0,2,1
Hilarity Manor Chicago- Home to Comedians!,0.0,33,2
"BEAUTIFUL modern one bedroom, 10 min to downtown!",0.0,32,25
Lofty 2Bd Medical District Gem,0.0,32,4
Stylish & Beautiful 1 Bedroom Apartment by UIC,0.0,32,1
Brand New Penthouse With Stunning Views!,0.0,32,2
Cozy Gold Coast Studio #413,0.0,7,4
Rare 3 BR + Mezzanine in beautiful condo duplex,0.0,32,2
Cozy 1-bed condo in Lincoln Park,0.0,32,21
Entire place one bedroom loft on 25th floor,0.0,32,1
"Long Stay 'The SOX' 3bd/2b,UC 2mi, Prkg,DWTN 20min",0.0,32,28
Lovely West Loop Condo,0.0,32,1
Large Two Bedroom in Heart of Gold Coast/ Old Town,0.0,32,2
"Long Stays 'The L' 3bd/2ba, Free Prkg, DWTN 20mins",0.0,32,28
"Loop Studio w/ Gym, W/D & Pool, nr Willis Tower",0.0,32,1
The Black And White Suite (1st Floor),0.0,32,3
"Loop 1BR w/ Gym, W/D & Pool, nr Millennium Park",0.0,32,1
Master Bedroom in Spacious and Comfy Chicago Condo,0.0,22,14
Private 2B/2BA Condo Near Restaurants/Train/Shops,0.0,32,24
Charming Lincoln Park Duplex Apartment,0.0,32,4
"S. Loop 1BR w/ Lounge, Pool & Gym nr Grant Park",0.0,32,1
Safest Area home #2 in Roscoe Village next to park,0.0,32,11
"S. Loop 1BR w/ Lounge, Pool & Gym nr Grant Park",0.0,32,1
S. Loop Studio w/ Pool & Gym nr Grant Park,0.0,32,2
"S. Loop 2BR w/ Lounge, Pool & Gym nr Grant Park",0.0,32,1
Rustic one bedroom open floor with 1 private bath,0.0,14,6
Level New JR Two Bedroom Suite in River North,0.0,32,3
Cozy Gold Coast One Bedroom #707,0.0,7,1
Luxury Corner Two Bedroom in River North,0.0,32,3
Clean One Bedroom Loft Style Apartment w/ Balcony.,0.0,2,1
"Streeterville Studio w/ Gym, Pool, nr Navy Pier",0.0,32,1
"Vibrant, Beautiful & Cozy Apt By Rush Med Hospital",0.0,32,1
Awesome room. 3 blocks to UChicago. Train. Grocery,0.0,32,2
MTM FULLY FURNISHED Rental in Old Town - 1 Bedroom,0.0,32,2
Level Two Bedroom Corner Suite in River North,0.0,32,2
"Lakeview 2BR w/ W/D & Pool, 3 blocks to Lakefront",0.0,32,1
"Streeterville 1BR w/ Gym, Pool, nr Navy Pier",0.0,32,2
Modern Chicago Condo ~ 9 Miles to Downtown!,0.0,32,10
Huge Lincoln Park 6 Bed Duplex with Free Parking!,0.0,32,2
"Wicker Park 2BR w/ W/D & Roof, 3 blocks to L",0.0,32,1
